Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
64	5.592	5.3517785	19.0	-8.0	20.0	0.5254806	2.6891165	8.763639	-2.0259902	325000	-0.0057347	5.441843	0.0	-0.10208702	1.3639383	-2.9349327e-08	98.5496780872345
65	5.1	5.328602	19.0	-12.0	20.0	0.71722496	2.647693	8.835213	-1.7584532	330000	-0.007289289	5.357792	0.0	-0.06456947	1.3640939	-1.4781952e-08	100.01520824432373
66	5.52	5.5173907	23.0	-9.0	20.0	0.50753945	2.579634	8.60401	-2.077879	335000	-0.01560553	5.05143	0.0	-0.04698944	1.3651793	1.4281273e-08	101.4881820678711
67	5.572	5.901594	20.0	-9.0	20.0	0.7592872	2.6588688	8.875506	-1.7466488	340000	-0.015996508	5.5342846	0.0	-0.029428482	1.3657318	4.696846e-09	102.97970914840698
68	5.476	5.8049483	24.0	-14.0	20.0	0.67506367	2.6328838	8.88758	-1.8008107	345000	-0.019474076	5.186885	0.0	-0.029553413	1.3657672	9.024143e-09	104.47327399253845
69	5.6	5.3148847	20.0	-12.0	20.0	0.6225355	2.5808206	8.819498	-1.6426506	350000	-0.011441397	4.90068	0.0	-0.17405128	1.3657024	1.1003017e-08	105.94075727462769
70	5.28	5.4664063	24.0	-12.0	20.0	0.7804461	2.8199136	8.906973	-1.8527203	355000	-0.018082235	5.2435203	0.0	-0.08803129	1.3662121	-7.843972e-09	107.4651050567627
71	5.596	5.893113	30.0	-10.0	20.0	0.6762405	2.676049	8.797019	-1.8350899	360000	-0.01619126	5.2006435	0.0	-0.033194542	1.3658478	-8.678437e-09	108.9463300704956
72	5.896	5.8744516	20.0	-8.0	20.0	0.7748668	2.64037	8.788984	-1.7056088	365000	-0.028272476	5.5795712	0.0	-0.022582531	1.3672794	-1.0848045e-08	110.41675114631653
73	5.308	5.495192	30.0	-9.0	20.0	0.87350637	2.6519105	8.988978	-1.7687832	370000	-0.028412161	5.088974	0.0	-0.04531288	1.3670131	-7.0095063e-09	111.88774704933167
74	6.52	5.7613883	20.0	-10.0	20.0	0.7925151	2.6454635	8.795651	-1.7455277	375000	-0.030720172	5.8894544	0.0	-0.0896101	1.3670936	5.102158e-09	113.36651802062988
75	6.62	5.744876	19.0	-12.0	20.0	0.96158516	2.710256	9.12264	-1.3850298	380000	-0.024500305	5.7374353	0.0	-0.07761574	1.3664608	3.4093857e-09	114.83510613441467
76	5.728	5.6736245	24.0	-7.0	20.0	1.0018346	2.7004926	9.1168375	-1.7248787	385000	-0.02650029	5.46439	0.0	-0.10504007	1.3656309	7.0095063e-09	116.32066512107849
77	6.46	6.1070776	27.0	-10.0	20.0	0.91442347	2.651899	8.900279	-1.6869566	390000	-0.028418548	5.916064	0.0	-0.059348583	1.3661387	-2.5725365e-08	117.79968094825745
78	6.296	5.200037	19.0	-10.0	20.0	0.94889	2.670493	9.13802	-1.5360589	395000	-0.029143136	5.122709	0.0	-0.039274216	1.3670354	8.320808e-09	119.27266311645508
79	6.228	5.633473	20.0	-9.0	20.0	0.9218698	2.745076	8.998084	-1.6180426	400000	-0.03435861	5.539596	0.0	-0.020664692	1.3668534	-1.3566017e-08	120.73559594154358
80	6.912	6.1364694	30.0	-9.0	20.0	0.9671247	2.7270968	9.080778	-1.7251713	405000	-0.03516489	6.078582	0.0	-0.049584866	1.3659294	-1.4138222e-08	122.23218011856079
81	6.476	5.5915494	24.0	-8.0	20.0	1.1378146	2.7209628	9.325311	-1.3628561	410000	-0.036565185	5.8682175	0.0	-0.02229786	1.365576	2.0742417e-09	123.69989013671875
82	6.54	5.711077	20.0	-14.0	20.0	1.1559176	2.6733983	9.117845	-1.4304125	415000	-0.030637745	5.8903537	0.0	-0.020049095	1.3652023	1.2469291e-08	125.16673827171326
83	7.128	6.159839	24.0	-9.0	20.0	1.160858	2.6767461	9.071191	-1.5708151	420000	-0.03963127	6.51702	0.0	-0.03767824	1.3655528	-1.4066697e-09	126.65619802474976
84	6.756	5.1334653	24.0	-7.0	20.0	1.2321091	2.6615016	9.249726	-1.36469	425000	-0.03838432	5.1815596	0.0	-0.07053232	1.3652015	-2.1958352e-08	128.12055015563965
85	7.06	6.2443895	24.0	-10.0	20.0	1.2902246	2.8246167	9.147024	-1.6879382	430000	-0.042843964	6.5348887	0.0	-0.17520761	1.3647364	3.0755998e-09	129.59244012832642
